x,z,cable_angle_deg,cable_length_m,vertical_efficiency,hold_attitude_deg,cable_tension_n,left_thrust_n,right_thrust_n,cable_support_fraction,drone_power_ratio,residual_fraction,max_thrust_fraction,static_cost,feasible,pred_static_cost,pred_drone_power_ratio,pred_residual_fraction,pred_hold_attitude_rad
-0.31527272727272737,0.3448181818181818,-5.50437779661305,3.5606693539260683,0.9953888721785656,13.324502905928236,1.58556588,0.0,0.21553069502492372,0.9193270033831454,0.04641407113582825,0.010109464141325561,0.14647006117901715,0.07674246355980494,1,0.06710609033949222,0.044793149132447585,0.007437647068888983,0.16006891436400772
-0.23645454545454547,0.3448181818181818,-4.206408614675277,3.553347978875777,0.9973062791890748,12.247108449924408,1.58258158,0.006969018335258167,0.1888741521199037,0.9193642330350762,0.03834528814600261,0.01573773699079849,0.12835484343860257,0.08555849911839808,1,0.06039022435560426,0.03763181399096771,0.00758613678807854,0.12050781125331078
-0.1576363636363638,0.3448181818181818,-2.618377091434246,3.5449643620749667,0.9989559686476538,2.166522084975795,1.64169076,0.004917946531467141,0.09251486444280327,0.9552799087669741,0.013212765326052329,0.016128321343822288,0.06287112772191863,0.061597729357519185,1,0.05552620147543763,0.03243693107545953,0.007696423466520094,0.0801679537782719
-0.0788181818181819,0.3448181818181818,-1.3099185082330551,3.542127887841177,0.9997386669244233,1.0837972479052598,1.64042939,0.02551250485503327,0.06933773420190463,0.9552938351782407,0.010359396174294582,0.008068653984118377,0.04712044458165452,0.03456535812664971,1,0.05257998554024468,0.02928020535235687,0.007766593395821655,0.03933951620116885
0.0,0.3448181818181818,0.0,3.541181818181818,1.0,0.0,1.70160903,0.009271912677001578,0.00927191267700158,0.9911804456094364,0.0008282662482662771,6.614674667270973e-13,0.0063009940040785455,0.0008282662502506796,1,0.051591660061022004,0.028205633819135656,0.007795342080484061,-0.0016806099269226493
0.07881818181818168,0.3448181818181818,1.3099185082330516,3.542127887841177,0.9997386669244233,-1.0837972479052598,1.64042939,0.06933773420190457,0.025512504855033324,0.9552938351782407,0.010359396174294579,0.008068653984118346,0.047120444581654486,0.03456535812664962,1,0.052575034475510485,0.029229101249959477,0.0077819777417093144,-0.042593273882063354
0.15763636363636357,0.3448181818181818,2.6183770914342426,3.5449643620749667,0.9989559686476538,-2.166522084975795,1.64169076,0.09251486444280321,0.004917946531467186,0.9552799087669741,0.013212765326052318,0.016128321343822253,0.0628711277219186,0.06159772935751908,1,0.055517478247979035,0.032338209293892195,0.007726422984558598,-0.08310159171123488
0.23645454545454547,0.3448181818181818,4.206408614675277,3.553347978875777,0.9973062791890748,-12.247108449924408,1.58258158,0.1888741521199037,0.0069690183352581645,0.9193642330350762,0.03834528814600261,0.01573773699079849,0.12835484343860257,0.08555849911839808,1,0.0603799847517581,0.03749234058238837,0.0076292147229915785,-0.12291548686019138
0.31527272727272715,0.3448181818181818,5.5043777966130465,3.5606693539260683,0.9953888721785656,-13.324502905928236,1.58556588,0.2155306950249236,0.0,0.9193270033831454,0.04641407113582822,0.010109464141325573,0.14647006117901706,0.07674246355980494,1,0.0670974642343376,0.04462295639832714,0.007491502611880599,-0.16175619190673163
0.39409090909090905,0.3448181818181818,6.796012035100981,3.5698448182461373,0.9929737469866438,-14.397670692384432,1.52728535,0.26579807427977975,0.026728720028134628,0.8833867812478857,0.06559136276617472,0.009579201811710798,0.18063069947657476,0.09432896820130712,1,0.0755792625357139,0.053634123394189714,0.007315046380395818,-0.19936065844910233
0.47290909090909095,0.3448181818181818,8.07997737243393,3.5808574324705664,0.9900728367171507,-15.465601535731148,1.53165449,0.29110163655927945,0.01564163537458619,0.8833257642550522,0.07376134438957184,0.00372791535009865,0.19782646045482802,0.0849450904398678,1,0.08570989965242237,0.06440326189057366,0.007102212587184492,-0.23548582387275552
0.5517272727272728,0.3448181818181818,9.35499112168964,3.593687288218169,0.9867001584091315,-16.527315122369657,1.53676646,0.31686104192884795,0.005496327335512724,0.8832548184184302,0.08292400812344437,0.002029093679398398,0.21533200266996122,0.08901128916163957,1,0.09735001975445812,0.07678210550686249,0.006855971415780898,-0.26991268638717436
0.6305454545454543,0.3448181818181818,10.619829025171423,3.608311682329076,0.9828716280762195,-17.58186610058587,1.47988964,0.3625594545165632,0.04447608961418024,0.8472646220124831,0.10561480770584923,0.0021482838329994025,0.24638766871665863,0.11205965920484744,1,0.11033754190574019,0.09059785932957665,0.006579894191985736,-0.3024501433080893
0.7093636363636362,0.3448181818181818,11.873331485982991,3.6247053099303796,0.978604857537154,-18.628348647024016,1.48617248,0.3873913159698015,0.036741341735848365,0.8471679674186916,0.11511028020504689,0.0026301123144646266,0.2632628718789001,0.12300061714844077,1,0.12448899854723194,0.10565454155962817,0.006278152329150827,-0.3329385519531085
0.7881818181818181,0.3448181818181818,13.114408812211435,3.642840472670515,0.9739189379351307,-19.665900511768605,1.49313595,0.4125559620539998,0.029889951632490093,0.8470618194942552,0.1253135559858587,0.007312929155266902,0.28036422837512726,0.14725234345165938,1,0.13960104680541896,0.12173449163260885,0.005955518390904677,-0.361252977594237
0.867,0.3448181818181818,14.342045440013504,3.662687298335941,0.9688342148892243,-20.693706467550424,1.43709697,0.4522725978409812,0.07351507673892782,0.8110142505604387,0.1503327296664178,0.0002313426713392576,0.3073548065518051,0.15102675768043558,1,0.15545213591617912,0.13860002620124323,0.005617369904967098,-0.3873060985265657
0.9458181818181819,0.3448181818181818,15.555303130126369,3.68421396816118,0.9633720600825043,-21.7110011917242,1.44500882,0.4762185688089309,0.0687750929657986,0.8108816797791109,0.1608050644616904,0.003512827088800292,0.3236279774440577,0.1713435457280913,1,0.17180431252911,0.15599522311876335,0.005269696470122764,-0.41105074431666155
1.0246363636363633,0.3448181818181818,16.75332315503416,3.70738694823616,0.9575546438115305,-22.7170715867477,1.45353453,0.5003906723554363,0.06484040499535902,0.8107404917092823,0.1718498534962471,0.00716781103062886,0.3400548232113057,0.19335328658813367,1,0.18840514440042355,0.1736478126692127,0.004919110577099733,-0.4324820495313979
1.1034545454545452,0.3448181818181818,17.93532751280776,3.7321712214838247,0.951404712628049,-23.711258453218463,1.3977723,0.5336045278188298,0.11224211402501504,0.7746306412703929,0.19824993667354526,0.0035754532755706467,0.36262625064140663,0.2089762965002572,1,0.20498974201228126,0.19127115475077971,0.004572862420547996,-0.45163921156295483
