t,x,z,measured_x,measured_z,ref_x,ref_z,error_x,error_z,error_norm,measured_error_norm,cable_support_fraction,drone_support_fraction,total_support_fraction,left_thrust_fraction,right_thrust_fraction,cable_tension_fraction,allocation_residual_fraction,left_thrust_n,right_thrust_n,cable_tension_n,measured_tension_n,measured_cable_length_m,measured_line_length_m,cable_angle_deg,attitude_deg,angular_velocity_deg_s,desired_attitude_torque_nm,net_attitude_torque_nm,cable_torque_nm,left_torque_nm,right_torque_nm,desired_cable_tension_n,drone_power_index,no_cable_power_index,drone_power_ratio,instant_power_saving_fraction,spool_power_in_w,spool_power_abs_w,spool_velocity_cmd,cable_stretch,reference_speed_scale,cumulative_drone_power_saving_fraction,cumulative_spool_work_in_j,cumulative_spool_work_abs_j
5.559999999999904,0.6318364215619656,2.703861677137016,0.6320061208340182,2.7035686068265816,0.6496387730839284,2.6077265941752876,-0.017802351521962745,0.09613508296172846,0.09776951414305966,0.09745050956468652,0.7303859898141403,0.2766909564540746,1.0070769462682148,0.5406701851549597,0.13304195436861221,0.0603316276426746,0.00819785149094753,0.7955961774555232,0.19577123585341288,1.4479590634241903,1.4479590634241903,1.3835724288829028,1.3891398588131552,30.072534206188955,-34.205308647132654,-3.9210358680493664,0.0006189027297481486,0.0004814931724209726,0.14860314790810225,-0.19737623404560115,0.04856809316351944,1.560266210310946,0.7962625693935398,2.1558276142798234,0.3693535439101143,0.6306464560898857,0.09876987362430734,0.09876987362430734,-0.06821316715317384,0.005569703357187317,0.6147473192805734,0.8963509786806287,0.7760574074886192,0.7767355375616859
5.564999999999904,0.6330266507975026,2.7049846753797917,0.633195935470422,2.7046931010833912,0.6509681242499877,2.6089701807499885,-0.01794147345248509,0.09601449462980316,0.09767640272175633,0.09735876011521244,0.7297274924602347,0.2773750454933605,1.0071025379535952,0.5415391329341738,0.13370782295055336,0.060317562449709455,0.008200252583025019,0.7968748341126367,0.1967510614717393,1.447621498793027,1.447621498793027,1.3832328237428702,1.388798911873482,30.138956062204603,-34.22485305871696,-3.908882316860648,0.0006169767570584647,0.0004780916861957845,0.1486760184907667,-0.19769345079798117,0.048811174133547706,1.559917158123677,0.7986251403792567,2.1558276142798234,0.370449443679682,0.629550556320318,0.09832394036237305,0.09832394036237305,-0.06792102800652788,0.005568378828952891,0.6159114265405085,0.8961112658123804,0.7765490271904311,0.7772271572634978
5.5699999999999035,0.6342193498317444,2.7061094218866715,0.6343882118569206,2.705819352303635,0.6523003810292645,2.6102164854789893,-0.018081031197520026,0.09589293640768215,0.0975826774691772,0.09726640709695011,0.7290690340126171,0.2780594638640179,1.007128497876635,0.5424093283068631,0.134373688755167,0.06030365630146698,0.008206336858853882,0.7981553266035489,0.19773088300322825,1.4472877512352076,1.4472877512352076,1.3828946898517265,1.3884594498851668,30.20553209008577,-34.244337175218185,-3.896823300245404,0.0006150643903136816,0.0004743729217840893,0.14874901316200745,-0.1980111229949344,0.04905425408968901,1.559605659439759,0.8009931657778899,2.1558276142798234,0.3715478735276661,0.628452126472334,0.09787540778597827,0.09787540778597827,-0.06762677822875593,0.005567067945987825,0.6170593819097336,0.8958709972851452,0.777038404229361,0.7777165343024277
5.574999999999903,0.6354145269571003,2.707235923095509,0.6355829582564895,2.7069473668785506,0.6536355030837404,2.611465470626724,-0.018220976126640087,0.09577045246878502,0.0974883764203887,0.09717348859943466,0.7284106173589912,0.27874413068561527,1.0071547480446064,0.5432806997901234,0.13503948522216058,0.06028991041876521,0.008216005943451373,0.7994375497411665,0.1987106025044093,1.446957850050365,1.446957850050365,1.3825580379377211,1.3881214840069107,30.27226272846436,-34.26376150874309,-3.8848667049804995,0.0006131668986265451,0.0004703439104008639,0.1488221357483002,-0.19832922454102087,0.0492973087335444,1.559330859053997,0.803366439795383,2.1558276142798234,0.37264873799464526,0.6273512620053547,0.09742422594091492,0.09742422594091492,-0.06733038280107732,0.00556577114755763,0.6181896814297434,0.8956301724104548,0.7775255253590656,0.7782036554321323
5.579999999999903,0.6366121902152604,2.7083641854905443,0.6367801826711282,2.7080771512629536,0.6549734468696116,2.612717095458669,-0.018361256654351177,0.09564709003187533,0.09739353971127972,0.09708004483513641,0.7277522198266978,0.2794289675212548,1.0071811873479526,0.544153167300063,0.1357051519313782,0.06027632390899918,0.008229165077250671,0.8007213856820428,0.19969013106702302,1.4466317738159804,1.4466317738159804,1.3822228789031943,1.387785025357346,30.339148407736282,-34.28312660991844,-3.87302023507111,0.0006112855229849417,0.00046601184184790867,0.14889538488453108,-0.19864772620093707,0.04954031600822377,1.5590919259885536,0.8057447446396739,2.1558276142798234,0.3737519360558155,0.6262480639441845,0.09697034172563784,0.09697034172563784,-0.06703180690539223,0.005564488667485712,0.619300886308485,0.8953887905928327,0.7780103770676938,0.7786885071407605
5.584999999999903,0.6378123473835134,2.7094942155726582,0.6379798928261688,2.7092087119486763,0.6563141657687094,2.613971316364276,-0.018501818385195934,0.0955228992083823,0.09729820942203171,0.09698611798618983,0.7270937963310435,0.280113898180997,1.0072076945120405,0.5450266431061501,0.13637063402185648,0.06026289401920104,0.008245722837384636,0.8020067053307,0.20066938796316183,1.446309456460825,1.446309456460825,1.3818892238227036,1.3874500850276197,30.40618954890515,-34.30243306695164,-3.861291406640491,0.0006094214756175501,0.00046138410695145725,0.14896875461760906,-0.1989665959479086,0.049783255886267454,1.5588880528437457,0.8081278518419998,2.1558276142798234,0.3748573617338895,0.6251426382661105,0.09651369962198998,0.09651369962198998,-0.0667310160981473,0.0055632205474569485,0.6203916203976135,0.8951468513338114,0.7784929455658037,0.7791710756388704
5.589999999999903,0.6390150059624615,2.71062601982566,0.6391820961567746,2.7103420554326325,0.6576576102152215,2.6152280869755296,-0.018642604252759987,0.09539793285013065,0.0972024294213013,0.0968917520503301,0.7264352835864176,0.2807988484738947,1.0072341320603124,0.5459010327770003,0.13703588155555094,0.06024961647815864,0.00826559086598428,0.803293369731356,0.2016482997089932,1.4459907954758073,1.4459907954758073,1.3815570839388678,1.3871166740994174,30.47338656238417,-34.321681504634185,-3.8496875365092738,0.0006075759391897442,0.0004564685458008429,0.14904223523314164,-0.19928579930895818,0.05002611013736898,1.5587184551659208,0.8105155235066268,2.1558276142798234,0.3759649046787945,0.6240350953212055,0.0960542429674264,0.0960542429674264,-0.06642797676718232,0.005561966657519513,0.6214605678319249,0.8949043542354101,0.7789732167806409,0.7796513468537076
5.594999999999903,0.6402201731647591,2.711759604679543,0.6403867997959297,2.7114771881810262,0.6590037278180447,2.6164873582813963,-0.018783554653285628,0.0952722463981468,0.09710624521194383,0.09679699268748608,0.7257766045262062,0.2814837456515317,1.007260350177738,0.5467762363076529,0.1377008484591155,0.06023648585716173,0.008288683556689781,0.8045812317267113,0.2026267985075885,1.4456756605718815,1.4456756605718815,1.381226470656995,1.386784803666727,30.540739846761266,-34.340872583278326,-3.8382157288273624,0.0006057500650065408,0.0004512735243547396,0.14911581413186842,-0.19960529977642733,0.050268861942062884,1.558582370831929,0.8129075135000907,2.1558276142798234,0.37707445071931267,0.6229255492806873,0.09559191493308507,0.09559191493308507,-0.06612265637457765,0.005560726721631548,0.6225064708256113,0.8946612990031003,0.7794511763553064,0.7801293064283731
5.599999999999903,0.6414278559044453,2.7128949764717394,0.64159401056367,2.712614116590449,0.6603524634791131,2.6177490787385254,-0.01892460757466785,0.09514589773321402,0.09700970377912922,0.09670188706756362,0.7251176731187956,0.2821685177608399,1.0072861908796356,0.5476521492722453,0.13836549135253537,0.060223495965044456,0.008314917744907946,0.805870137654109,0.2036048205252558,1.445363903161067,1.445363903161067,1.380897395538204,1.3864544848605507,30.608249787531992,-34.360006997572306,-3.8268828587960613,0.0006039449709091218,0.0004458080489044212,0.1491894767948684,-0.19992505922876969,0.050511495464106985,1.5584790594497107,0.8153035685732708,2.1558276142798234,0.378185882383565,0.621814117616435,0.09512665962579174,0.09512665962579174,-0.06581502375820099,0.005559500347508628,0.6235281276427431,0.8944176854482908,0.7799268096534353,0.780604939726502
5.604999999999903,0.6426380607864364,2.714032141407359,0.6428037349569918,2.7137528469470906,0.661703759508081,2.6190131943785273,-0.019065698721644653,0.09501894702883185,0.09691285344170027,0.09660648372052395,0.7244583991845949,0.2828530928591824,1.0073114920437773,0.5485286640393369,0.13902976819668045,0.06021064024488138,0.008344212393613935,0.8071599291338842,0.20458230390141527,1.4450553658771532,1.4450553658771532,1.3805698702915379,1.3861257288752054,30.675916755804923,-34.37908547535004,-3.8156955555458176,0.000602161738713504,0.0004400817992898598,0.14926320775700352,-0.20024503837421542,0.05075399535676051,1.558407801774541,0.8177034294209115,2.1558276142798234,0.37929907939047985,0.6207009206095202,0.09465842303102227,0.09465842303102227,-0.06550504933322351,0.005558287059139078,0.6245243907379857,0.8941735134903614,0.7804001017685904,0.7810782318416571
